epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2127.17,1.27174,0.78224,0.97821,0.81125,0.63422,0.7118,0.40067,1.42348,0.85475,1.00978,0.0066835,0.0066835,0.0066835
69,2156.87,1.26581,0.78043,0.97755,0.81169,0.62213,0.71352,0.40107,1.43813,0.84373,1.0157,0.006634,0.006634,0.006634
70,2186.71,1.26696,0.78261,0.97371,0.80694,0.63684,0.71207,0.40148,1.42384,0.84903,1.01375,0.0065845,0.0065845,0.0065845
71,2216.4,1.25943,0.7648,0.96828,0.80627,0.63151,0.71608,0.40331,1.42031,0.84845,1.01218,0.006535,0.006535,0.006535
72,2245.91,1.25624,0.7599,0.97011,0.81404,0.63819,0.71488,0.4045,1.41521,0.84157,1.00615,0.0064855,0.0064855,0.0064855
73,2275.48,1.2589,0.7811,0.96698,0.81766,0.62585,0.71761,0.40477,1.4085,0.82928,1.00915,0.006436,0.006436,0.006436
74,2305,1.24643,0.7704,0.97187,0.79756,0.65359,0.72159,0.40682,1.40907,0.82361,1.00547,0.0063865,0.0063865,0.0063865
75,2334.69,1.26052,0.77333,0.97417,0.80724,0.64424,0.7215,0.40346,1.40924,0.82354,1.00352,0.006337,0.006337,0.006337
76,2364.06,1.2588,0.76909,0.97626,0.8287,0.64594,0.72731,0.40603,1.42674,0.82607,1.01202,0.0062875,0.0062875,0.0062875
77,2393.94,1.24212,0.75317,0.96562,0.8272,0.63848,0.72513,0.412,1.415,0.81492,1.01133,0.006238,0.006238,0.006238
78,2424.22,1.24783,0.75484,0.97145,0.81766,0.6468,0.7211,0.40999,1.41368,0.83289,1.00884,0.0061885,0.0061885,0.0061885
79,2453.81,1.24263,0.75309,0.9683,0.81954,0.64757,0.72077,0.40779,1.41127,0.82522,1.01288,0.006139,0.006139,0.006139
80,2483.29,1.23906,0.75741,0.96571,0.83009,0.63089,0.7187,0.40665,1.41883,0.83059,1.0076,0.0060895,0.0060895,0.0060895
81,2512.77,1.22543,0.74313,0.96421,0.84448,0.62837,0.71858,0.40389,1.41957,0.824,1.01638,0.00604,0.00604,0.00604
